Niveau.N.1.0,Sup_Ha.N.11.2,Annee.C.4
2,291.87,1989
1,15790.13,1989
2,51.24,1989
1,192.5,1989
2,161.89,1989
2,32.8,1989
2,43.35,1989
3,68.84,1989
1,47.32,1989
2,51.23,1989
1,313.26,1989
2,134.02,1989
2,98.23,1989
2,51.32,1989
3,43.03,1989
2,205.61,1989
2,131.77,1989
2,39.73,1989
1,147.21,1989
2,30.97,1989
1,90.79,1989
2,88.41,1989
1,6903.55,1989
1,170.13,1989
1,125.09,1989
3,79.84,1989
1,168.65,1989
2,67.19,1989
2,169.51,1989
1,172.06,1989
1,979.89,1989
1,59.2,1989
2,2417.5,1989
1,82.44,1989
1,188.56,1989
2,84.91,1989
2,408.72,1989
1,1418.08,1989
1,336.29,1989
2,57.32,1989
2,52.96,1989
2,59.78,1989
1,22.37,1989
2,21.34,1989
1,31.12,1989
3,55.09,1989
2,37.81,1989
3,137.88,1989
2,24.95,1989
1,43.13,1989
1,83.54,1989
1,254.34,1989
1,62.41,1989
1,442.37,1989
2,81.13,1989
3,26.62,1989
2,8.31,1989
2,32.44,1989
2,137.2,1989
2,107.41,1989
1,"9,00",1989
2,544.52,1989
1,546.17,1989
2,123.08,1989
1,176.45,1989
2,89.94,1989
2,205.14,1989
3,58.61,1989
2,99.61,1989
2,146.81,1989
2,"8350,00",1989
1,340.47,1989
1,25.07,1989
2,58.79,1989
2,140.18,1989
1,3705.27,1989
2,44.39,1989
1,257.69,1989
3,23.97,1989
3,131.43,1989
2,171.55,1989
3,4.17,1989
3,4.07,1989
2,90.46,1989
1,2125.57,1989
2,17740.47,1989
1,27.4,1989
2,24.32,1989
3,23.08,1989
2,938.18,1989
1,68.74,1989
2,19.71,1989
2,17.91,1989
1,5270.25,1989
2,53.89,1989
2,95.73,1989
1,30.71,1989
1,62.58,1989
2,5.86,1989
2,77.76,1989
2,40.1,1989
2,38.39,1989
3,225.24,1989
1,1178.21,1989
2,25.22,1989
1,23.78,1989
2,23.8,1989
1,2656.09,1989
1,28.84,1989
1,257.22,1989
2,8.34,1989
2,362.83,1989
1,32.72,1989
2,30.95,1989
1,251.91,1989
2,5.3,1989
3,19.2,1989
2,567.6,1989
2,3108.72,1989
2,85.35,1989
2,128.33,1989
1,29.32,1989
2,16.19,1989
2,48.35,1989
2,10.36,1989
3,37.13,1989
1,242.51,1989
1,1210.76,1989
2,52.06,1989
2,4.23,1989
3,3075.29,1989
2,47.67,1989
1,22.45,1989
1,10969.15,1989
2,49.52,1989
2,88.63,1989
1,2223.61,1989
1,44.33,1989
2,6.67,1989
3,152.34,1989
2,136.61,1989
2,66.18,1989
2,14.68,1989
2,60.87,1989
2,66.22,1989
2,769.91,1989
2,26.64,1989
2,28.78,1989
2,452.02,1989
1,112.33,1989
2,327.58,1989
1,50.88,1989
2,70.39,1989
2,8776.16,1989
3,111.39,1989
3,28.47,1989
3,176.16,1989
2,475.21,1989
1,3054.4,1989
1,150.71,1989
2,3.72,1989
2,1669.7,1989
2,6965.6,1989
2,129.56,1989
2,526.1,1989
1,83.71,1989
2,"136,00",1989
1,63.92,1989
1,68.91,1989
2,20.82,1989
2,51.25,1989
1,147.94,1989
2,44.31,1989
1,61.57,1989
2,67.21,1989
1,50.87,1989
1,63.28,2002
1,109.29,2002
1,28.35,2002
1,22.93,2002
2,24.69,2002
1,65.17,2002
3,6.97,2002
1,41.69,2002
3,23.66,2002
2,774.1,2002
1,39.92,2002
1,52.96,2002
1,43.27,2002
2,16.17,2002
1,37.57,2002
1,29.27,2002
1,19.12,2002
2,39.51,2002
2,95.95,2002
1,21.67,2002
1,215.71,2002
1,11.58,2002
1,39.59,2002
1,45.7,2002
1,52.5,2002
2,173.65,2002
1,25.76,2002
1,277.15,2002
2,34.89,2002
2,7.35,2002
2,141.12,2002
2,39.86,2002
3,16.6,2002
1,38.7,2002
1,29.6,2002
3,28.38,2002
2,346.87,2002
2,118.03,2002
2,53.74,2002
1,75.1,2002
3,48.07,2002
3,45.52,2002
2,5281.22,2002
1,52.89,2002
2,74.97,2002
2,17.49,2002
1,26.48,2002
1,138.28,2002
2,176.7,2002
2,927.22,2002
2,2070.03,2002
3,6246.48,2002
3,432.95,2002
2,830.85,2002
3,191.03,2002
3,18.37,2002
2,27.51,2002
1,80.6,2002
2,1714.39,2002
1,91.3,2002
2,141.54,2002
1,245.23,2002
1,85.44,2002
1,69.43,2002
2,273.81,2002
2,68.41,2002
3,18.53,2002
2,295.35,2002
2,227.36,2002
2,68.01,2002
1,224.54,2002
1,50.08,2002
1,181.07,2002
1,110.22,2002
2,106.81,2002
3,15.89,2002
3,39.61,2002
2,3493.8,2002
1,144.8,2002
1,21.28,2002
1,146.21,2002
1,195.66,2002
2,32.73,2002
1,23.18,2002
1,20.36,2002
1,130.01,2002
1,67.21,2002
1,22.9,2002
1,62.03,2002
1,25.35,2002
2,15.54,2002
1,90.75,2002
1,220.69,2002
2,216.64,2002
1,97.7,2002
1,18.22,2002
1,17.67,2002
1,89.49,2002
1,52.39,2002
1,114.22,2002
1,42.97,2002
1,183.43,2002
1,46.47,2002
1,89.03,2002
1,25.55,2002
2,30.12,2002
2,41.82,2002
1,1530.06,2002
2,180.46,2002
2,122.46,2002
1,100.97,2002
2,88.57,2002
1,31.11,2002
1,197.66,2002
2,33.32,2002
1,116.99,2002
1,123.13,2002
1,17.93,2002
1,54.64,2002
1,54.89,2002
1,21.7,2002
1,63.42,2002
1,57.8,2002
1,91.26,2002
2,107.62,2002
1,101.95,2002
1,12.92,2002
2,31.02,2002
2,72.39,2002
1,45.06,2002
1,121.76,2002
2,88.77,2002
1,181.67,2002
3,18.52,2002
2,163.25,1989
2,12.23,1989
2,474.79,1989
1,15367.63,1989
2,319.46,1989
1,1694.08,1989
2,141.32,1989
1,11905.45,1989
1,372.91,1989
1,84.68,1989
2,31.58,1989
1,30328.65,1989
2,13.78,1989
3,32.11,1989
2,24.28,1989
2,165.83,1989
2,100.87,1989
1,38.53,1989
2,8.84,1989
2,8.14,1989
2,309.06,1989
1,44.45,1989
1,17.11,1989
3,7.77,1989
1,492.12,1989
3,262.85,1989
