annee;id_departement;departement;cultures;surfaces_certifiees_bio;surfaces_conversion_1;surfaces_conversion_2;surfaces_conversion_3
2008;77;SEINE-ET-MARNE;Fruits;16.33;2.36;0.08;0.13
2008;77;SEINE-ET-MARNE;STH;201.31;0.0;29.37;0.0
2008;78;YVELINES;Cultures fourragères;93.13;0.0;0.0;0.0
2008;91;ESSONNE;Autres;214.98;3.97;0.76;0.0
2008;91;ESSONNE;STH;14.01;0.0;0.0;0.0
2008;95;VAL-D'OISE;Légumes frais;33.16;7.4;8.82;0.0
2009;77;SEINE-ET-MARNE;Autres;186.17;22.19;44.34;0.0
2009;77;SEINE-ET-MARNE;Légumes secs;43.41;0.0;0.0;0.0
2009;78;YVELINES;Cultures fourragères;60.26;0.8;0.0;0.0
2009;91;ESSONNE;Autres;209.95;4.51;1.47;0.0
2009;91;ESSONNE;STH;18.32;1.0;0.0;0.0
2009;95;VAL-D'OISE;Légumes frais;45.31;0.0;0.5;0.0
2010;77;SEINE-ET-MARNE;Autres;149.72;47.9;20.48;0.15
2010;77;SEINE-ET-MARNE;Oléagineux;76.95;9.46;27.15;0.0
2010;78;YVELINES;Légumes frais;34.24;9.37;5.6;0.0
2010;91;ESSONNE;Autres;177.97;32.23;23.81;0.0
2010;91;ESSONNE;Cultures fourragères;95.69;115.74;13.69;0.0
2010;91;ESSONNE;Protéagineux;84.49;6.93;75.84;0.0
2010;95;VAL-D'OISE;Légumes frais;45.02;0.24;0.0;0.0
2011;77;SEINE-ET-MARNE;Fruits;18.99;5.49;7.84;14.8
2011;77;SEINE-ET-MARNE;Oléagineux;101.74;43.0;55.75;0.0
2011;78;YVELINES;Céréales;639.58;4.5;228.26;0.0
2011;78;YVELINES;STH;32.24;0.0;0.0;0.0
2011;91;ESSONNE;Légumes frais;56.26;7.79;6.33;0.0
2011;95;VAL-D'OISE;Autres;28.7;1.16;0.0;0.0
2011;95;VAL-D'OISE;STH;109.16;0.0;0.0;0.0
2008;77;SEINE-ET-MARNE;Cultures fourragères;353.02;21.92;37.21;0.0
2008;77;SEINE-ET-MARNE;Protéagineux;76.95;0.0;9.16;0.0
2008;78;YVELINES;Fruits;2.9;0.0;0.03;0.0
2008;91;ESSONNE;Céréales;416.18;16.0;13.31;0.0
2008;95;VAL-D'OISE;Autres;104.3;0.0;0.0;0.0
2008;95;VAL-D'OISE;STH;40.83;0.0;0.0;0.0
2009;77;SEINE-ET-MARNE;Céréales;687.28;117.89;66.78;0.0
2009;77;SEINE-ET-MARNE;Oléagineux;69.78;0.0;28.59;0.0
2009;78;YVELINES;Fruits;4.66;1.0;0.0;0.0
2009;91;ESSONNE;Céréales;459.83;108.42;16.0;0.0
2009;91;ESSONNE;Légumes frais;40.11;1.4;2.11;0.0
2009;95;VAL-D'OISE;Autres;134.32;0.0;0.0;0.0
2010;77;SEINE-ET-MARNE;Céréales;727.28;300.47;188.12;0.0
2010;77;SEINE-ET-MARNE;Protéagineux;186.53;83.0;112.97;0.0
2010;78;YVELINES;Oléagineux;12.11;33.01;0.0;0.0
2010;91;ESSONNE;Céréales;502.99;57.82;131.63;0.0
